企业代号,企业名称,CORAL平均违约风险,预测不确定性,修正违约风险,预测信誉评级,是否放贷,贷款额度_万元,贷款年利率,客户流失率,预期损失_万元,预期净收益_万元
E124,个体经营E124 ,2.9987466653588536e-05,8.653191360930567e-05,0.001,A,是,99,0.0465,0.135727183124787,0.05133780532238765,3.92336342725017
E125,个体经营E125 ,7.011350633936705e-06,2.695379849418027e-05,0.001,A,是,99,0.0465,0.135727183124787,0.05133780532238765,3.92336342725017
E126,个体经营E126 ,9.184426292747667e-06,3.2100388415524415e-05,0.001,A,是,99,0.0465,0.135727183124787,0.05133780532238765,3.92336342725017
E127,个体经营E127 ,8.680848607899287e-05,0.000302235891964263,0.001,A,是,99,0.0465,0.135727183124787,0.05133780532238765,3.92336342725017
E131,个体经营E131 ,0.00037757565333636125,0.0007445822598249304,0.001,A,是,99,0.0465,0.135727183124787,0.05133780532238765,3.92336342725017
E129,个体经营E129 ,6.727206788280856e-05,0.0002772801108826851,0.001,A,是,99,0.0465,0.135727183124787,0.05133780532238765,3.92336342725017
E197,***医疗设备有限公司,0.0010594367935382553,0.0017313930123061725,0.0014057153959994898,A,是,99,0.0465,0.135727183124787,0.07216634333850487,3.9009206775378034
E132,个体经营E132 ,0.0011734920029451998,0.0014045623366195756,0.001454404470269115,A,是,99,0.0465,0.135727183124787,0.07466593355468616,3.8982273690798688
E167,***体育文化股份有限公司,0.001321647070009369,0.004301456523207512,0.0021819383746508715,A,是,99,0.0465,0.135727183124787,0.11201592750327337,3.8579827506002657
E191,***商贸有限责任公司,0.001854952996244207,0.004276940729792396,0.002710341142202686,A,是,99,0.0465,0.135727183124787,0.13914296591565928,3.8287533667109197
E147,***装饰工程有限责任公司,0.0022841423311486747,0.002817779687406019,0.002847698268629879,A,是,99,0.0465,0.135727183124787,0.1461945793318211,3.821155253255006
E162,***网络信息安全有限公司,0.002737249896184829,0.006661845724820294,0.004069619041148888,A,是,98,0.0465,0.135727183124787,0.20681495340340186,3.7156481142081796
E180,***电气有限公司,0.004574592412760021,0.006829007636383165,0.005940393940036654,A,是,98,0.0465,0.135727183124787,0.3018863150295507,3.6132087220560045
E134,***工程咨询有限公司,0.00559643837997936,0.013040015355100545,0.00820444145099947,A,是,97,0.0465,0.135727183124787,0.4126889671218468,3.4536301784418577
E141,***食品有限公司,0.006482734824718002,0.00903156589260219,0.00828904800323844,A,是,97,0.0465,0.135727183124787,0.4169447340578138,3.4490445895683535
E146,***基础建设工程有限公司,0.007085245709237314,0.008160600735284617,0.008717365856294238,A,是,97,0.0465,0.135727183124787,0.43848941244124123,3.425830198610211
E175,***食品集团有限公司,0.006119755416896241,0.016573216918964618,0.009434398800689164,A,是,96,0.0465,0.135727183124787,0.4696643189949555,3.3520505508138863
E140,***建筑工程有限公司,0.007678802402702878,0.0107889565540924,0.009836593713521358,A,是,97,0.0465,0.135727183124787,0.4947873324314911,3.3651691898207163
E164,个体经营E164 ,0.009054531799064005,0.008805257455123162,0.010815583290088637,A,是,97,0.0465,0.135727183124787,0.5440311718311113,3.3121089528676246
E165,***文化传媒股份有限公司,0.008542126014735378,0.014939845305047416,0.011530095075744862,A,是,96,0.0465,0.135727183124787,0.5739925103972947,3.239636924577866
E145,***工贸有限公司,0.010139082354425554,0.009178998445920551,0.011974882043609664,A,是,97,0.0585,0.347315668091994,0.45488060098327404,3.2044257818328377
E173,***贸易有限责任公司,0.010616662586886216,0.010229556894747948,0.012662573965835805,A,是,97,0.0585,0.347315668091994,0.48100342321520606,3.1757559844332914
E195,***医药有限公司,0.011896745716467238,0.010880570592436795,0.014072859834954597,A,是,96,0.0745,0.511096611982035,0.39630348589888753,3.0511258623731528
E193,个体经营E193 ,0.007929495793107543,0.03448477493500499,0.014826450780108542,A,是,94,0.0745,0.511096611982035,0.4088267938533639,2.9642009721996514
E194,***文化传播有限公司,0.009295615236346902,0.032194821532626546,0.01573457954287221,A,是,94,0.0745,0.511096611982035,0.43386767356172895,2.936050849927498
E169,***建筑设计有限公司,0.012518341190601004,0.016747306585429066,0.015867802507686816,A,是,96,0.0745,0.511096611982035,0.4468505706091034,2.9943025146447515
E171,***质量检验测试站,0.012586129577478405,0.019416763679780864,0.016469482313434577,A,是,95,0.0745,0.511096611982035,0.4589631850105866,2.9442626148810787
E137,***建设工程有限公司,0.013695161209252325,0.01419180885001597,0.01653352297925552,A,是,96,0.0745,0.511096611982035,0.4655978150648199,2.973227487335784
E225,***物业服务有限责任公司***分公司,0.015339294529973773,0.018692491508624422,0.019077792831698658,A,是,95,0.0745,0.511096611982035,0.5316502604253722,2.8625502276022914
E238,个体经营E238 ,0.013502827166895418,0.03496857488921807,0.020496542144739033,A,是,93,0.0745,0.511096611982035,0.5591622524646482,2.7587755584034612
E160,***钢结构工程有限公司,0.01827110495065445,0.013019769091181393,0.02087505876889073,A,是,95,0.0745,0.511096611982035,0.5817355565595339,2.8062460071981374
E135,***建设工程有限公司,0.019396398655079364,0.01370808667873682,0.02213801599082673,A,是,95,0.0745,0.511096611982035,0.6169310082489312,2.76668045359064
E128,个体经营E128 ,0.015189862942384183,0.03527808653800075,0.022245480249984333,A,是,93,0.0745,0.511096611982035,0.6068746989565669,2.7051388164721297
E159,个体经营E159 ,0.017785614564112925,0.025673326495682647,0.022920279863249453,A,是,94,0.0745,0.511096611982035,0.6320072598416904,2.7133089316844416
E139,个体经营E139 ,0.01934764367908112,0.021434394668119597,0.023634522612705038,A,是,94,0.0745,0.511096611982035,0.6517018973259825,2.6911688767125166
E174,***工程技术有限公司,0.021123380390723902,0.01841564329623696,0.024806509049971295,A,是,94,0.0745,0.511096611982035,0.684018428415811,2.654839709679034
E209,***工程检测有限公司,0.017513755362946436,0.04889757147133576,0.02729326965721359,A,是,90,0.0745,0.511096611982035,0.7205636882969809,2.468063537066599
E204,***科技发展有限公司,0.020508452465547215,0.04394275890461951,0.029297004246471116,A,是,91,0.0745,0.511096611982035,0.7820578930642532,2.4353571042813953
E177,***电力工程有限公司,0.02626568119506399,0.02447435865565584,0.031160552926195156,A,是,93,0.0745,0.511096611982035,0.8500850943156497,2.431729797022627
E136,***机械有限责任公司,0.02300460388111399,0.05068723705985691,0.03314205129308537,A,是,89,0.0745,0.511096611982035,0.8652541461071163,2.2689840450043666
E206,***建设工程有限公司,0.027537338156482634,0.030838424139204658,0.03370502298432357,A,是,92,0.0745,0.511096611982035,0.9096131961503063,2.3283869868028293
E154,***汽车销售服务有限公司,0.026182043775845383,0.038658864454589124,0.03391381666676321,A,是,91,0.0745,0.511096611982035,0.9052996608474358,2.2968128169984676
E150,***建设工程有限公司,0.03029484501872991,0.01923659349979413,0.03414216371868874,A,是,93,0.0745,0.511096611982035,0.9314258490112678,2.340289231952303
E144,***劳务有限公司,0.028667591965079443,0.030872473137334426,0.034842086592546326,A,是,92,0.0745,0.511096611982035,0.9402996627752589,2.2938902839052786
E176,***科技有限公司,0.030162973719158475,0.03791780325446673,0.03774653437005182,A,是,90,0.0745,0.511096611982035,0.9965380611305644,2.1578223462728454
E156,个体经营E156 ,0.03147873084251842,0.034481050052765534,0.038374940853071526,A,是,91,0.0745,0.511096611982035,1.0243854674538402,2.162940522738434
E138,个体经营E138 ,0.035854481071467756,0.01948258287491883,0.03975099764645152,A,是,92,0.0745,0.511096611982035,1.0727787379397253,2.1449617235745575
E188,***硬质合金有限公司,0.036530161864237805,0.028366189728888654,0.042203399810015536,A,是,91,0.0745,0.511096611982035,1.126582829353436,2.0480536550696384
E143,***电子科技有限公司,0.03692076036210512,0.028234863624441636,0.04256773308699345,A,是,91,0.0745,0.511096611982035,1.1363083873855635,2.037120506915189
E196,***地质制图印刷厂,0.03730051596356808,0.02655653584008562,0.0426118231315852,A,是,91,0.0745,0.511096611982035,1.1374853325465244,2.035797424396742
E152,***运贸有限责任公司,0.0379670654649048,0.030102128589638524,0.04398749118283251,A,是,91,0.0745,0.511096611982035,1.1742075874454656,1.9945154895145156
